city,year,car_numbers,car_speed,school_numbers,stations,parks,total_accidents,child_accidents,schoolzone_accidents,child_population,total_population,city_tax,density,wedding
마포구,2023,122309,23.1,22,16,144,1250,9,1,28207,363697,251945,15727,1573
서대문구,2023,91648,22.5,19,5,125,916,10,3,23935,306231,85698,18190,1130
서초구,2023,177103,25.8,24,12,180,2168,22,4,41337,407664,891948,8774,1425
성동구,2023,104416,23.6,21,14,105,919,14,2,22110,277361,196538,16930,1280
성북구,2023,122505,23.1,29,9,123,1256,22,2,34035,425602,88800,17828,1396
송파구,2023,244299,22.2,41,28,174,2614,25,3,60978,654166,392673,19483,2513
양천구,2023,151409,27.4,30,5,121,1221,22,5,39077,436028,104193,25236,1252
영등포구,2023,144663,22.5,23,11,108,1900,16,3,29103,374794,845279,16203,2053
용산구,2023,74770,25.7,15,10,107,996,9,0.001,14919,213151,419456,10386,1002
은평구,2023,135169,20.4,30,13,136,1039,15,2,34227,466770,47312,15849,1621
종로구,2023,50768,21.9,13,15,106,988,5,1,8566,139417,625629,6292,440
중구,2023,54772,19.9,12,23,72,931,4,1,7462,121312,1168567,13232,595
중랑구,2023,116428,21.4,24,8,108,1268,18,3,26157,382155,36019,20948,1595
